,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,10.81,False,False,False,False,False,,92,4.94,,False,False,24.76,3,AVG_PERF,False,False,False,39.92,Food Products,False,9,,False,KO
Value,False,False,False,7.99,False,False,False,False,False,,53,8.64,,False,False,16.92,3,UNDER_PERF,False,False,False,13.68,Technology Hardware,False,0.29,,False,AAPL
Value,False,False,False,8.06,False,False,False,False,False,,99,4.73,,False,False,13.26,3,UNDER_PERF,False,False,False,5.64,Software & Services,False,0.46,,False,MSFT
Value,False,False,False,14.58,False,False,False,False,False,,57,9.66,,False,False,30.93,3,OUT_PERF,False,False,False,62.88,Retailing,False,6.7,,False,AMZN
Value,False,False,False,16.63,False,False,False,False,False,,99,10.18,,False,False,28.03,4,AVG_PERF,False,False,False,52.35,Software & Services,False,1.22,,False,FB
Value,False,False,False,17.31,False,False,False,False,False,,37,10.2,,False,False,30.46,3,OUT_PERF,False,False,False,61.16,Automobiles,False,2.95,,False,TSLA
Value,False,False,False,10.79,False,False,False,False,False,,99,11.62,,False,False,22.89,4,AVG_PERF,False,False,False,32.95,Software & Services,False,0.48,,False,GOOGL
Value,False,False,False,20.05,False,False,False,False,True,,83,8.02,,True,False,28.82,4,AVG_PERF,False,False,False,55.27,Pharmaceuticals,False,0.74,,False,JNJ
Value,False,False,False,16.35,False,False,False,False,False,,165,10.55,,False,False,28,3,AVG_PERF,False,False,False,52.24,Banks,False,1.11,,False,JPM
Value,False,False,False,7.84,False,False,False,False,False,,99,7.51,,False,False,16.06,3,UNDER_PERF,False,False,False,11.41,Software & Services,False,0.71,,False,V
Value,False,False,False,14.23,False,False,False,False,True,,55,5.91,,False,False,20.19,3,AVG_PERF,False,False,False,23.54,Healthcare,False,0.03,,False,UNH
Value,False,False,False,10.31,False,False,False,False,False,,27,7.36,,True,False,26.97,3,AVG_PERF,False,False,False,48.27,Household Products,False,9.31,,False,PG
Value,False,False,False,4.11,False,False,False,False,False,,29,6.13,,False,False,12.77,2,UNDER_PERF,False,False,False,4.74,Semiconductors,False,2.5300000000000002,,False,NVDA
Value,False,False,False,7.06,False,False,False,False,False,,36,7.77,,False,False,14.89,2,UNDER_PERF,False,False,False,8.85,Media,False,0.07,,False,DIS
